publicHoliday,weeks,days,hours,hourPerDay,demand,min,max
0,1,1,1,1,3,1,7
0,1,1,2,2,3,1,7
0,1,1,3,3,3,1,7
0,1,1,4,4,3,1,7
0,1,1,5,5,3,1,7
0,1,1,6,6,3,1,7
0,1,1,7,7,3,1,7
0,1,1,8,8,3,1,7
0,1,1,9,9,3,1,7
0,1,1,10,10,3,1,7
0,1,1,11,11,3,1,7
0,1,1,12,12,3,1,7
0,1,1,13,13,3,1,7
0,1,1,14,14,3,1,7
0,1,1,15,15,3,1,7
0,1,1,16,16,3,1,7
0,1,1,17,17,3,1,7
0,1,1,18,18,3,1,7
0,1,1,19,19,3,1,7
0,1,1,20,20,3,1,7
0,1,1,21,21,3,1,7
0,1,1,22,22,3,1,7
0,1,1,23,23,3,1,7
0,1,1,24,24,3,1,7
1,1,2,25,1,3,1,7
1,1,2,26,2,3,1,7
1,1,2,27,3,3,1,7
1,1,2,28,4,3,1,7
1,1,2,29,5,3,1,7
1,1,2,30,6,3,1,7
1,1,2,31,7,3,1,7
1,1,2,32,8,3,1,7
1,1,2,33,9,3,1,7
1,1,2,34,10,3,1,7
1,1,2,35,11,3,1,7
1,1,2,36,12,3,1,7
1,1,2,37,13,3,1,7
1,1,2,38,14,3,1,7
1,1,2,39,15,3,1,7
1,1,2,40,16,3,1,7
1,1,2,41,17,3,1,7
1,1,2,42,18,3,1,7
1,1,2,43,19,3,1,7
1,1,2,44,20,3,1,7
1,1,2,45,21,3,1,7
1,1,2,46,22,3,1,7
1,1,2,47,23,3,1,7
1,1,2,48,24,3,1,7
0,1,3,49,1,3,1,7
0,1,3,50,2,3,1,7
0,1,3,51,3,3,1,7
0,1,3,52,4,3,1,7
0,1,3,53,5,3,1,7
0,1,3,54,6,3,1,7
0,1,3,55,7,3,1,7
0,1,3,56,8,3,1,7
0,1,3,57,9,3,1,7
0,1,3,58,10,3,1,7
0,1,3,59,11,3,1,7
0,1,3,60,12,3,1,7
0,1,3,61,13,3,1,7
0,1,3,62,14,3,1,7
0,1,3,63,15,3,1,7
0,1,3,64,16,3,1,7
0,1,3,65,17,3,1,7
0,1,3,66,18,3,1,7
0,1,3,67,19,3,1,7
0,1,3,68,20,3,1,7
0,1,3,69,21,3,1,7
0,1,3,70,22,3,1,7
0,1,3,71,23,3,1,7
0,1,3,72,24,3,1,7
0,1,4,73,1,3,1,7
0,1,4,74,2,3,1,7
0,1,4,75,3,3,1,7
0,1,4,76,4,3,1,7
0,1,4,77,5,3,1,7
0,1,4,78,6,3,1,7
0,1,4,79,7,3,1,7
0,1,4,80,8,3,1,7
0,1,4,81,9,3,1,7
0,1,4,82,10,3,1,7
0,1,4,83,11,3,1,7
0,1,4,84,12,3,1,7
0,1,4,85,13,3,1,7
0,1,4,86,14,3,1,7
0,1,4,87,15,3,1,7
0,1,4,88,16,3,1,7
0,1,4,89,17,3,1,7
0,1,4,90,18,3,1,7
0,1,4,91,19,3,1,7
0,1,4,92,20,3,1,7
0,1,4,93,21,3,1,7
0,1,4,94,22,3,1,7
0,1,4,95,23,3,1,7
0,1,4,96,24,3,1,7
0,1,5,97,1,3,1,7
0,1,5,98,2,3,1,7
0,1,5,99,3,3,1,7
0,1,5,100,4,3,1,7
0,1,5,101,5,3,1,7
0,1,5,102,6,3,1,7
0,1,5,103,7,3,1,7
0,1,5,104,8,3,1,7
0,1,5,105,9,3,1,7
0,1,5,106,10,3,1,7
0,1,5,107,11,3,1,7
0,1,5,108,12,3,1,7
0,1,5,109,13,3,1,7
0,1,5,110,14,3,1,7
0,1,5,111,15,3,1,7
0,1,5,112,16,3,1,7
0,1,5,113,17,3,1,7
0,1,5,114,18,3,1,7
0,1,5,115,19,3,1,7
0,1,5,116,20,3,1,7
0,1,5,117,21,3,1,7
0,1,5,118,22,3,1,7
0,1,5,119,23,3,1,7
0,1,5,120,24,3,1,7
0,1,6,121,1,3,1,7
0,1,6,122,2,3,1,7
0,1,6,123,3,3,1,7
0,1,6,124,4,3,1,7
0,1,6,125,5,3,1,7
0,1,6,126,6,3,1,7
0,1,6,127,7,3,1,7
0,1,6,128,8,3,1,7
0,1,6,129,9,3,1,7
0,1,6,130,10,3,1,7
0,1,6,131,11,3,1,7
0,1,6,132,12,3,1,7
0,1,6,133,13,3,1,7
0,1,6,134,14,3,1,7
0,1,6,135,15,3,1,7
0,1,6,136,16,3,1,7
0,1,6,137,17,3,1,7
0,1,6,138,18,3,1,7
0,1,6,139,19,3,1,7
0,1,6,140,20,3,1,7
0,1,6,141,21,3,1,7
0,1,6,142,22,3,1,7
0,1,6,143,23,3,1,7
0,1,6,144,24,3,1,7
0,1,7,145,1,3,1,7
0,1,7,146,2,3,1,7
0,1,7,147,3,3,1,7
0,1,7,148,4,3,1,7
0,1,7,149,5,3,1,7
0,1,7,150,6,3,1,7
0,1,7,151,7,3,1,7
0,1,7,152,8,3,1,7
0,1,7,153,9,3,1,7
0,1,7,154,10,3,1,7
0,1,7,155,11,3,1,7
0,1,7,156,12,3,1,7
0,1,7,157,13,3,1,7
0,1,7,158,14,3,1,7
0,1,7,159,15,3,1,7
0,1,7,160,16,3,1,7
0,1,7,161,17,3,1,7
0,1,7,162,18,3,1,7
0,1,7,163,19,3,1,7
0,1,7,164,20,3,1,7
0,1,7,165,21,3,1,7
0,1,7,166,22,3,1,7
0,1,7,167,23,3,1,7
0,1,7,168,24,3,1,7
