weeks,days,hours,hourPerDay,shiftA,shiftB,shiftC,shiftD,shiftE,shiftF,shiftG,shiftH,shiftI,shiftJ,shiftK
1,1,1,1,1,0,0,1,0,0,1,0,0,0,0
1,1,2,2,1,0,0,1,0,0,1,0,0,0,0
1,1,3,3,1,0,0,1,0,0,1,0,0,0,0
1,1,4,4,1,0,0,1,0,0,1,0,0,1,0
1,1,5,5,1,0,0,1,0,0,1,0,0,1,0
1,1,6,6,1,0,0,1,0,0,1,0,0,1,0
1,1,7,7,0,1,0,1,1,0,1,0,1,1,0
1,1,8,8,0,1,0,1,1,0,1,0,1,1,0
1,1,9,9,0,1,0,0,1,0,1,0,1,1,0
1,1,10,10,0,1,0,0,1,0,1,0,1,1,0
1,1,11,11,0,1,0,0,1,0,1,0,1,1,0
1,1,12,12,0,1,0,0,1,0,1,0,1,0,0
1,1,13,13,0,1,0,0,1,0,0,1,1,0,0
1,1,14,14,0,1,0,0,1,0,0,1,1,0,0
1,1,15,15,0,0,1,0,1,1,0,1,1,0,1
1,1,16,16,0,0,1,0,1,1,0,1,1,0,1
1,1,17,17,0,0,1,0,0,1,0,1,1,0,1
1,1,18,18,0,0,1,0,0,1,0,1,1,0,1
1,1,19,19,0,0,1,0,0,1,0,1,0,0,1
1,1,20,20,0,0,1,0,0,1,0,1,0,0,1
1,1,21,21,0,0,1,0,0,1,0,1,0,0,1
1,1,22,22,0,0,1,0,0,1,0,1,0,0,1
1,1,23,23,1,0,0,1,0,1,0,1,0,0,0
1,1,24,24,1,0,0,1,0,1,0,1,0,0,0
