hourlyOutputA,hourlyOutputB,hourlyOutputC,hourlyOutputD,hourlyOutputE,hourlyOutputF,hourlyOutputG,workhour,nrShifts,cost,pref,noGoPrefTrue,minHourBtwShiftTrue,nightShiftTrue,contShiftTrue
1,1,1,1,1,1,1,1144,143,2000,150,5,7,1,7
1,1,1,1,1,2,1,1144,143,2000,150,5,7,1,7
1,1,1,1,2,1,1,1144,143,2000,150,5,7,1,7
1,1,1,1,2,2,1,1144,143,2000,150,5,7,1,7
1,1,1,2,1,1,1,1144,143,2000,150,5,7,1,7
1,1,1,2,1,2,1,1144,143,2000,150,5,7,1,7
1,1,1,2,2,1,1,1144,143,2000,150,5,7,1,7
1,1,1,2,2,2,1,1144,143,2000,150,5,7,1,7
1,1,2,1,1,1,1,1144,143,2000,150,5,7,1,7
1,1,2,1,1,2,1,1144,143,2000,150,5,7,1,7
1,1,2,1,2,1,1,1144,143,2000,150,5,7,1,7
1,1,2,1,2,2,1,1144,143,2000,150,5,7,1,7
1,1,2,2,1,1,1,1144,143,2000,150,5,7,1,7
1,1,2,2,1,2,1,1144,143,2000,150,5,7,1,7
1,1,2,2,2,1,1,1144,143,2000,150,5,7,1,7
1,1,2,2,2,2,1,312,34,440,56,7,7,5,5
1,2,1,1,1,1,1,1144,143,2000,150,5,7,1,7
1,2,1,1,1,2,1,1144,143,2000,150,5,7,1,7
1,2,1,1,2,1,1,1144,143,2000,150,5,7,1,7
1,2,1,1,2,2,1,1144,143,2000,150,5,7,1,7
1,2,1,2,1,1,1,1144,143,2000,150,5,7,1,7
1,2,1,2,1,2,1,1144,143,2000,150,5,7,1,7
1,2,1,2,2,1,1,1144,143,2000,150,5,7,1,7
1,2,1,2,2,2,1,312,34,440,58,7,7,5,5
1,2,2,1,1,1,1,1144,143,2000,150,5,7,1,7
1,2,2,1,1,2,1,1144,143,2000,150,5,7,1,7
1,2,2,1,2,1,1,1144,143,2000,150,5,7,1,7
1,2,2,1,2,2,1,312,33,440,55,7,7,3,3
1,2,2,2,1,1,1,1144,143,2000,150,5,7,1,7
1,2,2,2,1,2,1,312,34,440,56,7,7,2,2
1,2,2,2,2,1,1,1144,143,2000,150,5,7,1,7
1,2,2,2,2,2,1,264,27,392,45,7,7,3,3
2,1,1,1,1,1,1,1144,143,2000,150,5,7,1,7
2,1,1,1,1,2,1,1144,143,2000,150,5,7,1,7
2,1,1,1,2,1,1,1144,143,2000,150,5,7,1,7
2,1,1,1,2,2,1,1144,143,2000,150,5,7,1,7
2,1,1,2,1,1,1,1144,143,2000,150,5,7,1,7
2,1,1,2,1,2,1,1144,143,2000,150,5,7,1,7
2,1,1,2,2,1,1,1144,143,2000,150,5,7,1,7
2,1,1,2,2,2,1,312,34,440,56,7,7,5,5
2,1,2,1,1,1,1,1144,143,2000,150,5,7,1,7
2,1,2,1,1,2,1,1144,143,2000,150,5,7,1,7
2,1,2,1,2,1,1,1144,143,2000,150,5,7,1,7
2,1,2,1,2,2,1,312,33,440,53,7,7,6,6
2,1,2,2,1,1,1,1144,143,2000,150,5,7,1,7
2,1,2,2,1,2,1,312,34,440,54,7,7,5,5
2,1,2,2,2,1,1,312,34,440,54,7,7,5,5
2,1,2,2,2,2,1,264,27,392,47,7,7,3,3
2,2,1,1,1,1,1,1144,143,2000,150,5,7,1,7
2,2,1,1,1,2,1,1144,143,2000,150,5,7,1,7
2,2,1,1,2,1,1,1144,143,2000,150,5,7,1,7
2,2,1,1,2,2,1,312,33,440,55,7,7,7,7
2,2,1,2,1,1,1,1144,143,2000,150,5,7,1,7
2,2,1,2,1,2,1,312,34,440,56,7,7,6,6
2,2,1,2,2,1,1,312,34,440,56,7,7,6,6
2,2,1,2,2,2,1,264,27,392,45,7,7,3,3
2,2,2,1,1,1,1,1144,143,2000,150,5,7,1,7
2,2,2,1,1,2,1,312,33,440,53,7,7,5,5
2,2,2,1,2,1,1,312,33,440,53,7,7,4,4
2,2,2,1,2,2,1,264,27,392,45,7,7,2,2
2,2,2,2,1,1,1,312,34,440,54,7,7,6,6
2,2,2,2,1,2,1,264,27,392,47,7,7,5,5
2,2,2,2,2,1,1,264,27,392,47,7,7,4,4
2,2,2,2,2,2,1,252,29,380,53,7,7,6,6
3,1,1,1,1,1,1,1144,143,2000,150,5,7,1,7
3,1,1,1,1,2,1,1144,143,2000,150,5,7,1,7
3,1,1,1,2,1,1,1144,143,2000,150,5,7,1,7
3,1,1,1,2,2,1,312,34,440,56,7,7,6,6
3,1,1,2,1,1,1,1144,143,2000,150,5,7,1,7
3,1,1,2,1,2,1,312,34,440,56,7,7,5,5
3,1,1,2,2,1,1,312,34,440,56,7,7,6,6
3,1,1,2,2,2,1,264,28,392,50,7,7,5,5
3,1,2,1,1,1,1,1144,143,2000,150,5,7,1,7
3,1,2,1,1,2,1,312,34,440,54,7,7,5,5
3,1,2,1,2,1,1,312,34,440,54,7,7,3,3
3,1,2,2,1,1,1,312,34,440,54,7,7,4,4
3,1,2,2,1,2,1,264,28,392,48,7,7,4,4
3,1,2,2,2,1,1,1144,143,2000,150,5,7,1,7
3,1,2,2,2,2,1,228,24,356,46,7,7,5,5
3,2,1,1,1,1,1,1144,143,2000,150,5,7,1,7
3,2,1,1,1,2,1,312,34,440,56,7,7,3,3
3,2,1,1,2,1,1,312,34,440,56,7,7,3,3
3,2,1,2,1,1,1,312,34,440,56,7,7,6,6
3,2,1,2,1,2,1,264,28,392,50,7,7,5,5
3,2,1,2,2,1,1,264,28,392,50,7,7,3,3
3,2,1,2,2,2,1,228,24,356,36,7,7,5,5
3,2,2,1,1,1,1,312,34,440,54,7,7,6,6
3,2,2,1,1,2,1,264,27,392,47,7,7,2,2
3,2,2,1,2,1,1,264,27,392,47,7,7,5,5
3,2,2,1,2,2,1,228,25,356,43,7,7,4,4
3,2,2,2,1,1,1,264,28,392,48,7,7,3,3
3,2,2,2,1,2,1,228,24,356,46,7,7,5,5
3,2,2,2,2,1,1,228,24,356,46,7,7,7,7
